Model,MTL,Tasks,Learning Rate,MTL HPO,NEXT_ACTIVITY_mean,NEXT_ACTIVITY_std,NEXT_TIME_mean,NEXT_TIME_std,REMAINING_TIME_mean,REMAINING_TIME_std,Best Epoch_mean
CNN,CAGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,0.1,0.8584999999999999,0.004866210024238578,1.7266666666666666,0.02424403706756217,2.861166666666667,0.013902997278764422,36.0
CNN,GradNorm,"('next_activity', 'next_time', 'remaining_time')",0.001,2.0,0.8576333333333334,0.005954270176380426,1.7185666666666668,0.02959904277731527,2.8621,0.017433014656105687,39.666666666666664
CNN,Nash_MTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.8572333333333333,0.005692392584259598,1.7211666666666667,0.027721171211428607,2.858333333333333,0.013799033782599855,36.666666666666664
CNN,UW_SO,"('next_activity', 'next_time', 'remaining_time')",0.001,15.0,0.8576333333333334,0.005513921774321127,1.7213666666666665,0.02643715819321996,2.8561,0.019228104430754244,40.666666666666664
CNN,EW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.8582666666666666,0.005665980350595422,1.7203333333333333,0.02679745012745307,2.860433333333333,0.012650823425110919,42.666666666666664
CNN,DWA,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.8577666666666667,0.005093459858812435,1.7235666666666667,0.02025569878659666,2.8555333333333333,0.022518732942449007,40.0
CNN,GradDrop,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.8572000000000001,0.005723635208501675,1.7294666666666665,0.02240453823075437,2.8656333333333333,0.020530302806664513,35.0
CNN,UW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.8583666666666666,0.0056721542057082425,1.7402333333333333,0.008228203530135475,2.8644666666666665,0.0122712400894667,30.0
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.8581333333333333,0.005877357682950157,1.7351333333333334,0.028483386970887765,2.8696,0.016086951233841705,31.666666666666668
CNN,UW_O,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.8581,0.006065476073648266,1.7305333333333335,0.020633064080095735,2.8676666666666666,0.01649858579798083,39.0
CNN,RLW,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.8575333333333334,0.006296295206971578,1.7224333333333333,0.028149837181293536,2.8623999999999996,0.013423486879346764,48.0
CNN,GLS,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.8584999999999999,0.005634713834792282,1.7274666666666667,0.03375519713071364,2.863,0.02030049260486057,42.0
CNN,PCGrad,"('next_activity', 'next_time', 'remaining_time')",0.001,None,0.8583666666666666,0.005485739087245551,1.7242,0.022099095004094696,2.8587333333333333,0.02007145568545883,38.666666666666664
CNN,EW,"('next_time',)",0.001,None,,,1.713,0.034195175098250284,,,37.0
CNN,EW,"('next_activity',)",0.001,None,0.6595666666666666,0.000907377172587711,,,,,27.666666666666668
CNN,EW,"('remaining_time',)",0.001,None,,,,,2.8548666666666667,0.021171994080231037,30.666666666666668
